序号(不要修改),文件夹用途,是否压缩,路径,压缩包保存子路径,后缀筛选,排除文件名称,排除文件夹名称,最后生成时间
1,db配置表,0,E:\【SVN-魏云鹏】\SVN-策划资源\策划文档\db,,csv,,,20231129-182327
2,form目录,0,E:\【SVN-魏云鹏】\SVN-策划资源\配置表\lua,,,,,
3,Setting目录,0,E:\【SVN-魏云鹏】\SVN-策划资源\配置表-客户端Setting文件\Setting,,,,,20231124-163350
4,map目录,0,E:\【打包资源-魏云鹏】\[1]旧版工具打包资源\map,,,,,20231129-120826
5,grid目录,0,E:\【打包资源-魏云鹏】\[1]旧版工具打包资源\grid,,,,,20231129-120826
6,resourse资源,0,E:\【打包资源-魏云鹏】\[2]打包资源-3-rec\resource,,,,,20231124-163350
7,地图资源-30,0,E:\【打包资源-魏云鹏】\[2]打包资源-2-astc纹理压缩带头\30,,,,,20231129-120826
8,UI资源-31,0,E:\【打包资源-魏云鹏】\[2]打包资源-2-astc纹理压缩带头\31,,,,,20231127-164203
9,人物外观-32,0,E:\【打包资源-魏云鹏】\[2]打包资源-2-astc纹理压缩带头\32,,,,,
10,武器资源-33,0,E:\【打包资源-魏云鹏】\[2]打包资源-2-astc纹理压缩带头\33,,,,,
11,内观资源-34,0,E:\【打包资源-魏云鹏】\[2]打包资源-2-astc纹理压缩带头\34,,,,,
12,美术资源-35,0,E:\【打包资源-魏云鹏】\[2]打包资源-2-astc纹理压缩带头\35,,,,,
13,怪物资源-36,0,E:\【打包资源-魏云鹏】\[2]打包资源-2-astc纹理压缩带头\36,,,,,
14,特效资源-37,0,E:\【打包资源-魏云鹏】\[2]打包资源-2-astc纹理压缩带头\37,,,,,20231124-140618
